,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,62.6,88,40,4.61,ZA,2021-02-01
1,atuona,-9.8,-139.0333,78.24,77,1,17.94,PF,2021-02-01
2,lagoa,39.05,-27.9833,59.56,78,98,25.64,PT,2021-02-01
3,whitefish,48.4111,-114.3376,37.99,70,1,2.13,US,2021-02-01
4,kodiak,57.79,-152.4072,28.4,64,1,8.05,US,2021-02-01
5,hovd,48.0056,91.6419,4.84,85,100,1.59,MN,2021-02-01
6,busselton,-33.65,115.3333,66.0,74,0,5.99,AU,2021-02-01
7,puerto ayora,-0.7393,-90.3518,86.0,66,0,11.5,EC,2021-02-01
8,kharp,66.8014,65.8081,5.86,93,100,3.98,RU,2021-02-01
9,lagunas,-5.2269,-75.6753,88.02,52,22,6.31,PE,2021-02-01
10,atambua,-9.1061,124.8925,73.78,86,70,1.45,ID,2021-02-01
11,talaya,61.3833,152.75,-31.41,81,100,4.81,RU,2021-02-01
12,fare,-16.7,-151.0167,81.3,74,16,12.3,PF,2021-02-01
13,kalmunai,7.4167,81.8167,77.4,83,0,6.33,LK,2021-02-01
14,tual,-5.6667,132.75,82.89,73,100,11.03,ID,2021-02-01
15,hermanus,-34.4187,19.2345,64.99,72,0,7.0,ZA,2021-02-01
16,nikolskoye,59.7035,30.7861,26.6,86,75,6.71,RU,2021-02-01
17,northam,51.0333,-4.2167,46.99,95,100,11.01,GB,2021-02-01
18,kapaa,22.0752,-159.319,71.6,83,40,12.66,US,2021-02-01
19,mataura,-46.1927,168.8643,55.04,84,5,2.1,NZ,2021-02-01
20,tasiilaq,65.6145,-37.6368,15.8,73,75,1.14,GL,2021-02-01
21,punta arenas,-53.15,-70.9167,59.0,55,0,32.21,CL,2021-02-01
22,oktyabrskiy,54.4815,53.471,14.04,95,100,7.29,RU,2021-02-01
23,kholtoson,50.2981,103.3097,-11.43,80,100,2.39,RU,2021-02-01
24,hilo,19.7297,-155.09,70.0,68,40,6.91,US,2021-02-01
25,chuy,-33.6971,-53.4616,75.54,84,100,13.15,UY,2021-02-01
26,new norfolk,-42.7826,147.0587,53.01,61,74,2.26,AU,2021-02-01
27,wajir,1.7471,40.0573,89.6,33,0,7.58,KE,2021-02-01
28,georgetown,5.4112,100.3354,80.6,83,20,5.19,MY,2021-02-01
29,beloha,-25.1667,45.05,78.37,80,9,5.08,MG,2021-02-01
30,cayenne,4.9333,-52.3333,82.4,78,75,11.5,GF,2021-02-01
31,hithadhoo,-0.6,73.0833,82.92,70,30,5.28,MV,2021-02-01
32,bluff,-46.6,168.3333,54.81,90,19,7.74,NZ,2021-02-01
33,ushuaia,-54.8,-68.3,51.8,71,20,37.98,AR,2021-02-01
34,mopti,14.6667,-4.0,86.0,10,0,11.5,ML,2021-02-01
35,hobart,-42.8794,147.3294,55.4,58,75,8.05,AU,2021-02-01
36,kangaatsiaq,68.3065,-53.4641,6.67,96,100,29.3,GL,2021-02-01
37,acapulco,16.8634,-99.8901,84.2,70,1,8.05,MX,2021-02-01
38,alta floresta,-9.8756,-56.0861,84.06,78,100,4.41,BR,2021-02-01
39,albany,42.6001,-73.9662,25.0,62,100,1.01,US,2021-02-01
40,candelaria,13.9311,121.4233,75.99,77,98,4.0,PH,2021-02-01
41,mount gambier,-37.8333,140.7667,55.4,82,90,11.5,AU,2021-02-01
42,vaini,-21.2,-175.2,77.0,88,75,19.57,TO,2021-02-01
43,oktyabrskoye,43.0645,44.7417,30.2,100,56,8.95,RU,2021-02-01
44,qaanaaq,77.484,-69.3632,-10.01,77,82,5.41,GL,2021-02-01
45,teya,60.3778,92.6267,-16.13,81,50,1.79,RU,2021-02-01
46,bambanglipuro,-7.95,110.2833,77.77,84,59,3.18,ID,2021-02-01
47,rikitea,-23.1203,-134.9692,77.83,79,77,16.42,PF,2021-02-01
48,khatanga,71.9667,102.5,-30.23,83,0,10.04,RU,2021-02-01
49,narsaq,60.9167,-46.05,32.0,74,75,3.44,GL,2021-02-01
50,ucluelet,48.9329,-125.5528,44.01,93,90,4.61,CA,2021-02-01
51,butaritari,3.0707,172.7902,81.19,84,96,16.4,KI,2021-02-01
52,tongren,27.7172,109.1853,48.54,85,24,0.76,CN,2021-02-01
53,boden,65.8252,21.6886,8.6,85,0,3.44,SE,2021-02-01
54,port alfred,-33.5906,26.891,68.0,66,100,1.99,ZA,2021-02-01
55,zhongxing,33.7039,118.6792,34.99,80,0,12.15,CN,2021-02-01
56,kloulklubed,7.0419,134.2556,78.8,89,75,3.44,PW,2021-02-01
57,mar del plata,-38.0023,-57.5575,68.0,77,75,11.5,AR,2021-02-01
58,hambantota,6.1241,81.1185,77.0,94,40,8.05,LK,2021-02-01
59,paita,-5.0892,-81.1144,86.0,51,0,19.57,PE,2021-02-01
60,ndioum,16.5129,-14.6471,87.8,19,0,2.3,SN,2021-02-01
61,constitucion,-35.3333,-72.4167,66.13,65,15,14.94,CL,2021-02-01
62,khandagayty,50.7333,92.05,-5.62,85,100,1.41,RU,2021-02-01
63,machilipatnam,16.1667,81.1333,73.29,87,26,9.06,IN,2021-02-01
64,cozumel,20.5083,-86.9458,80.6,61,40,10.36,MX,2021-02-01
65,pali,25.7667,73.3333,59.54,30,0,3.98,IN,2021-02-01
66,capelinha,-17.6914,-42.5158,76.66,68,100,5.59,BR,2021-02-01
67,cidreira,-30.1811,-50.2056,79.57,74,5,7.94,BR,2021-02-01
